date,real_gdp,consumption,cpi,core_cpi_yoy,short_rate,rate_3m,rate_10y,working_age_pop,jgb_1y,jgb_2y,jgb_3y,jgb_4y,jgb_5y,jgb_6y,jgb_7y,jgb_8y,jgb_9y,jgb_10y,jgb_15y,jgb_20y,jgb_25y,jgb_30y,jgb_40y
1985-01-01,354283.45239795465,195510.5342845241,60.17250719144882,1.1483978422215553,5.985687563322215,6.159616145886272,7.737563450935673,86.01871932258531,6.589049898772155,6.9685845985230745,7.212353880946097,7.374785157486055,7.487110466530872,7.567632399167374,7.627329364886108,7.672954883452428,7.708775892199457,7.737563450935673,7.82419638520746,7.867541280063645,7.893547867791496,7.910885558087414,7.932557668138157
1985-04-01,357396.5497646172,195859.43616094568,60.375104749094376,1.2464569447558365,5.922698278965435,6.128020162404543,7.8664759729570815,86.03159907418807,6.5985257011345855,7.015567180648139,7.2842556000738155,7.463770974123446,7.588183920188069,7.677524540713186,7.74384417109791,7.794577297113029,7.834432955509394,7.866475972957082,7.962949041364616,8.011226696260865,8.040193246648391,8.059504253100421,8.083643008701102
1985-07-01,362693.3298642653,200226.04377119604,60.67066290325154,1.4820941398315632,5.784566347222679,6.020941912327627,7.46835839594925,85.92978654509547,6.416974731556202,6.766007678417574,6.989511895060862,7.138049818882224,7.24054506201016,7.313895346200943,7.3682065421364324,7.4096783855206665,7.4422182838290265,7.46835839594925,7.546989007928692,7.5863224192942225,7.609921867561445,7.625654791941771,7.645320944309492
1985-10-01,368476.7348126714,202974.50457108204,60.92773066594092,1.5343856406909997,5.746777356273258,5.93706360514466,7.335111911376204,86.01655200774981,6.320463827720952,6.657960679651729,6.8738004278477005,7.017083734452591,7.115861139658168,7.186499028348986,7.238773267532553,7.27867414575341,7.30997309238154,7.335111911376204,7.410715957965651,7.44853218261315,7.471221224536528,7.486347208980953,7.505254686319671
1986-01-01,371289.376829276,204081.24975830875,61.12458881427456,1.5698663979922047,5.508429695789244,5.657670816314151,7.122245180464992,85.98486901202648,6.058094086954797,6.411136396710589,6.637304394779307,6.787668557671935,6.89145593314648,6.965748908771234,7.0207680478077314,7.062785879195044,7.095757069517765,7.122245180464992,7.201927673435809,7.241788382137897,7.265704241585489,7.28164810757758,7.301577936997936
1986-04-01,374986.8208095186,206209.1262844186,61.30760717920466,1.5327085836866454,5.483219631594068,5.682692746799745,7.286130626251735,85.97586049206377,6.118649165943256,6.504140368479769,6.7518670929948685,6.917011518332184,7.031256481477817,7.113178921950668,7.173927642066358,7.220364306729172,7.256826063682984,7.286130626251735,7.374326285629786,7.418454558827307,7.444931222257182,7.462582297579891,7.484646138970469
1986-07-01,380440.52459740615,208694.968494735,61.53945534008683,1.421825108156611,5.300459400243801,5.473386707400025,7.10355112804707,86.04352778047098,5.9161820586791105,6.307918578192925,6.559794630119422,6.727783757265162,6.84404145317999,6.927432308204474,6.989283779351717,7.036570920320821,7.073704493573231,7.10355112804707,7.193385284709234,7.238334920076958,7.265304451867371,7.283284107381963,7.305758674071473
1986-10-01,385501.24939141446,212404.33993794877,61.714326448910384,1.282768061135699,5.22524695848864,5.414976730328724,7.013485872946127,86.07396372553372,5.849671957592604,6.2340114389391195,6.480972971179541,6.645592794905136,6.75946658281843,6.8411182277238245,6.901663585586654,6.947943410878928,6.98428127579176,7.013485872946127,7.10137937119309,7.145356174061799,7.171741945878523,7.189332426555518,7.21132052462806
1987-01-01,390967.7350989221,214641.26570523667,61.91501655392217,1.2848523224743615,5.268193111490696,5.465745478400143,7.189612094383546,86.08971850273002,5.9325178549958535,6.346150208582381,6.61257363814296,6.790536177208392,6.913850434528701,7.002389492837235,7.068107165443614,7.118376042672541,7.157864977270886,7.189612094383546,7.285190757656331,7.333020056275373,7.361717565025361,7.380849209684334,7.404763763011445
1987-04-01,395448.9428646595,216433.2660351956,62.162178440132514,1.3842818353237347,5.144759249098584,5.293589682618118,6.67747580578829,86.0657403935753,5.673366009077759,6.007553516875176,6.221194569252153,6.362970490839582,6.460681364849711,6.530541152268897,6.582231052391678,6.621681269935902,6.652624226414206,6.67747580578829,6.752211625609679,6.7895926169312775,6.812020491803666,6.826972364199927,6.845662201447136
1987-07-01,401938.9657541627,219939.27808648007,62.44981256231903,1.4684715810660176,4.96402598833576,5.11555623815614,6.803619375778842,85.99451329091849,5.573167026765613,5.978433012642208,6.239297909465564,6.41344962172414,6.534067576757451,6.620639513759859,6.684879916172264,6.734009476128286,6.7725984304361155,6.803619375778842,6.897003071074751,6.943732054375304,6.971769305535191,6.990460776746205,7.013825113184224
1987-10-01,408228.3121469437,224680.6267995081,62.71306544710004,1.605370702686435,4.824874827197956,5.0393368322637215,6.781018647378313,86.01763600815131,5.510667858515995,5.928463173735905,6.1976524342192,6.377511175595889,6.502167066867983,6.591684931130252,6.658137668146045,6.708973450184777,6.748910199599554,6.781018647378313,6.877689489215445,6.926066285938122,6.955092327584468,6.974442995030799,6.998631326881487
1988-01-01,413497.5551782973,228864.692437824,62.8405986008782,1.4838595103463208,4.651773558107918,4.836091997222828,6.338995481618746,86.03834114358921,5.246323130776197,5.608321986897063,5.840440626619221,5.994884438909083,6.101558318692908,6.177957179905638,6.234557798437755,6.277795316591546,6.311729973436316,6.338995481618746,6.421027779563041,6.462066421809044,6.486689114606981,6.50310420467528,6.523623064275619
1988-04-01,419890.25414959865,231087.4807062768,63.09109372509206,1.483286304657247,4.672825224603368,4.795882894348751,6.434844573424379,86.00605889746497,5.240929335768274,5.634721552164702,5.887963388959374,6.056888872844222,6.173809076121639,6.257683271739906,6.319897722358984,6.367464804522095,6.4048195115737565,6.434844573424379,6.525218054795179,6.570438048202202,6.597569811622487,6.615657621979915,6.638267382242417
1988-07-01,425221.4774339255,233760.85427707885,63.33155089685594,1.402040419941688,4.72102075061237,4.944566071710614,6.445731558889507,86.00653820939557,5.354352477121561,5.715945207232825,5.947794020813213,6.102052845311718,6.208595839324505,6.284899211173851,6.341428119034171,6.38461033166067,6.418501301039531,6.445731558889507,6.527657307179692,6.568642537158257,6.59323317927546,6.609626902139717,6.630119052731161
1988-10-01,428566.82723128016,235981.3994146256,63.58922622869126,1.3874250809278073,4.521744213573182,4.729915306231409,6.232309608965429,86.0411876565938,5.140016147622954,5.5018960208625565,5.733935609524134,5.888325225875067,5.994960760008069,6.071331645668097,6.127911255099229,6.171132570373049,6.2050544280854165,6.232309608965429,6.3143106910197195,6.355333685054762,6.379946987953382,6.3963558180643245,6.416866852716843
1989-01-01,433174.41963817226,239493.78576698064,63.90555014479692,1.6804875201965055,4.372021385697526,4.550605140976431,6.139395185195221,85.9970358676987,4.982813392694841,5.364881766463689,5.610334397080623,5.773919745877756,5.887061604145115,5.968179260555213,6.028323603348168,6.074294153195999,6.110387712320656,6.13939518519522,6.2266928444140826,6.270370959184889,6.296577499575492,6.314048492167837,6.33588723011308
1989-04-01,435731.20368394064,239862.55628935577,64.0464618019888,1.5029171447588805,4.323254010475015,4.483749104143268,6.266002538843465,85.96353565318131,4.965461816186878,5.392737693172911,5.668225746008077,5.852402822434695,5.98011409702943,6.0718610546917,6.139987797895698,6.192114626198649,6.233071211105763,6.266002538843465,6.365160664314417,6.414784311247462,6.4445585405280985,6.4644080016810745,6.48921982575475
1989-07-01,440374.7253112237,241808.3096095723,64.25859300244724,1.453181869877104,4.121952082350278,4.347026319239708,6.10569074989903,85.9792763467082,4.8227029491504325,5.244466672268932,5.516292504079685,5.69795882978984,5.823893654484858,5.914344580740022,5.981498029332137,6.032874222194485,6.073237858045203,6.10569074989903,6.203402727932728,6.252301435734647,6.281640656472147,6.301200110795675,6.325649426280398
1989-10-01,443501.3884154679,245007.56470540492,64.52860654490703,1.4664580726836536,4.085133831865118,4.295614350541931,5.851539909361103,86.03169551888669,4.719413059713169,5.093801834123518,5.334152214167326,5.4942395547348495,5.604906441541301,5.68421845133815,5.743006788319826,5.787931543803665,5.8231989991397555,5.851539909361103,5.936822778500019,5.979490899315624,6.005091380548756,6.022158332122849,6.043492018722635
1990-01-01,446175.2131685475,245817.58943262912,64.5004655757112,0.9266227666007671,4.004973873650787,4.27645194213131,5.995479895057234,86.00014966456,4.741986175413395,5.154487855774391,5.420160077121667,5.597607601788135,5.720557467187176,5.808830678778315,5.874348705622864,5.924463609756115,5.963830916468469,5.995479895057234,6.090761919261741,6.138442515706387,6.167050793907951,6.186122951302026,6.209963145537318
1990-04-01,447948.3530965716,247889.71897567928,64.62035175304172,0.8920618159651362,3.8956949674089474,4.108300625370696,5.69925261510741,86.01701049884342,4.541062087419242,4.9236356531973575,5.169423928435643,5.333239388951299,5.4465440598533865,5.527780498272543,5.588014044065342,5.634053390074452,5.670201293314385,5.69925261510741,5.786682814554117,5.830427370404953,5.856673779573758,5.874171351455503,5.896043313517278
1990-07-01,452107.0671929372,248841.20524677905,64.6867035587949,0.6640213188070185,3.839540306084504,4.051171400322365,5.814909408754612,86.0335039621101,4.528146284796609,4.95109557477053,5.223709085584466,5.40591542938976,5.532232337054891,5.622962016755038,5.690324803812685,5.741862445088896,5.782353613799746,5.814909408754612,5.91293242753769,5.9619870569315525,5.991419840316787,6.011041669982713,6.035568954656649
1990-10-01,454286.24798988353,248636.6576735292,64.77635269688062,0.3831971435357721,3.7172322613118025,3.9122244234085457,5.507902396346453,85.98125792685512,4.3461951956387175,4.729873104208721,4.9763950939781685,5.140713575549221,5.254374152634091,5.335870246893213,5.396298789218193,5.442488522690732,5.478755221420073,5.507902396346453,5.595622326910383,5.63951212204939,5.665845683819622,5.683401357662851,5.705345947186926
